phuong_phap,nhom,symbol,khung,doan,nguong,n_lenh,ev_r,win_pct,pf,sharpe,maxdd_r,ci_lo,ci_hi,song_sot,ghi_chu
smc_fvg,SMC/ICT,audjpy,H1,OOS,0.1,3282,-0.04623,42.54,0.923,-0.0389,211.98,-0.08612,-0.00479,False,nan
smc_fvg,SMC/ICT,audjpy,H1,VALID,0.1,1948,-0.06539,41.68,0.892,-0.0556,151.66,-0.11497,-0.01357,False,nan
smc_order_block,SMC/ICT,audjpy,H1,IS,0.1,3215,-0.07994,40.5,0.868,-0.0683,273.75,-0.11928,-0.03921,False,nan
smc_order_block,SMC/ICT,audjpy,H1,OOS,0.1,1384,-0.03627,43.28,0.94,-0.0304,91.03,-0.10319,0.02545,False,nan
smc_order_block,SMC/ICT,audjpy,H1,VALID,0.1,823,-0.03689,42.77,0.938,-0.031,49.62,-0.11585,0.04594,False,nan
smc_liq_sweep,SMC/ICT,audjpy,H1,IS,0.1,5182,-0.11881,39.39,0.808,-0.1031,630.17,-0.14772,-0.08792,False,nan
smc_liq_sweep,SMC/ICT,audjpy,H1,OOS,0.1,2082,-0.14291,38.9,0.778,-0.1223,315.06,-0.19215,-0.09254,False,nan
smc_liq_sweep,SMC/ICT,audjpy,H1,VALID,0.1,1392,-0.06951,40.95,0.885,-0.0591,121.13,-0.13201,-0.00839,False,nan
smc_premium_disc,SMC/ICT,audjpy,H1,IS,0.7,5973,-0.08175,40.62,0.865,-0.0702,512.17,-0.10994,-0.05243,False,nan
smc_premium_disc,SMC/ICT,audjpy,H1,OOS,0.7,2604,-0.13664,39.63,0.787,-0.1168,361.4,-0.17949,-0.09447,False,nan
smc_premium_disc,SMC/ICT,audjpy,H1,VALID,0.7,1507,-0.08864,40.01,0.855,-0.0758,149.34,-0.14886,-0.02886,False,nan
elliott_zigzag,Elliott,audjpy,H1,IS,0.1,5348,-0.07839,40.71,0.87,-0.0672,445.04,-0.10821,-0.04762,False,nan
elliott_zigzag,Elliott,audjpy,H1,OOS,0.1,2349,-0.09718,41.0,0.844,-0.0824,246.16,-0.14461,-0.05002,False,nan
elliott_zigzag,Elliott,audjpy,H1,VALID,0.1,1368,-0.05778,41.23,0.904,-0.049,100.64,-0.12368,0.00372,False,nan
wyckoff_spring,Wyckoff,audjpy,H1,IS,0.1,1616,-0.11307,39.67,0.818,-0.0972,196.98,-0.16586,-0.05503,False,nan
wyckoff_spring,Wyckoff,audjpy,H1,OOS,0.1,577,-0.19705,37.26,0.705,-0.1705,118.05,-0.29104,-0.10216,False,nan
wyckoff_spring,Wyckoff,audjpy,H1,VALID,0.1,421,-0.15973,37.77,0.754,-0.138,80.11,-0.26953,-0.04918,False,nan
sd_zone,Supply/Demand,audjpy,H1,IS,0.1,5840,-0.127,38.82,0.795,-0.1106,754.49,-0.15705,-0.09717,False,nan
sd_zone,Supply/Demand,audjpy,H1,OOS,0.1,2439,-0.13131,39.28,0.795,-0.112,327.47,-0.17664,-0.08894,False,nan
sd_zone,Supply/Demand,audjpy,H1,VALID,0.1,1445,-0.09999,39.45,0.837,-0.0859,167.9,-0.15653,-0.03963,False,nan
ctrl_rsi_diverg,Đối chứng,audjpy,H1,IS,0.1,3739,-0.07584,40.97,0.875,-0.0649,295.9,-0.11186,-0.03746,False,nan
ctrl_rsi_diverg,Đối chứng,audjpy,H1,OOS,0.1,1590,-0.1266,39.37,0.802,-0.1075,208.19,-0.18235,-0.06794,False,nan
ctrl_rsi_diverg,Đối chứng,audjpy,H1,VALID,0.1,921,-0.07489,41.59,0.876,-0.0641,78.29,-0.14865,0.00146,False,nan
ctrl_channel_break,Đối chứng,audjpy,H1,IS,0.1,4569,-0.08153,40.47,0.866,-0.0695,388.92,-0.11506,-0.04629,False,nan
ctrl_channel_break,Đối chứng,audjpy,H1,OOS,0.1,1993,0.00245,44.86,1.004,0.002,83.78,-0.04871,0.05563,False,nan
ctrl_channel_break,Đối chứng,audjpy,H1,VALID,0.1,1190,-0.02756,42.86,0.953,-0.0232,50.72,-0.09363,0.04134,False,nan
ctrl_meanrev_z,Đối chứng,audjpy,H1,IS,0.7,7882,-0.0812,40.71,0.865,-0.0698,673.2,-0.10789,-0.05595,False,nan
ctrl_meanrev_z,Đối chứng,audjpy,H1,OOS,0.7,3437,-0.12967,39.57,0.797,-0.1107,453.43,-0.16892,-0.0908,False,nan
ctrl_meanrev_z,Đối chứng,audjpy,H1,VALID,0.7,2043,-0.06652,41.07,0.89,-0.0566,150.03,-0.1178,-0.01729,False,nan
pa_pinbar,PriceAction,audjpy,H4,IS,0.5,1553,-0.01583,42.11,0.972,-0.0135,65.94,-0.07365,0.04608,False,nan
pa_pinbar,PriceAction,audjpy,H4,OOS,0.5,658,-0.01959,42.4,0.966,-0.0165,37.66,-0.11019,0.07219,False,nan
pa_pinbar,PriceAction,audjpy,H4,VALID,0.5,404,-0.04333,41.09,0.927,-0.0368,34.23,-0.15951,0.07692,False,nan
pa_engulfing,PriceAction,audjpy,H4,IS,0.1,1533,-0.07552,39.99,0.874,-0.0651,138.08,-0.13132,-0.01756,False,nan
pa_engulfing,PriceAction,audjpy,H4,OOS,0.1,672,-0.01047,42.71,0.982,-0.0088,34.12,-0.09813,0.07877,False,nan
pa_engulfing,PriceAction,audjpy,H4,VALID,0.1,408,-0.02468,41.91,0.958,-0.0209,24.65,-0.13776,0.0906,False,nan
pa_inside_outside,PriceAction,audjpy,H4,IS,0.1,1379,0.01852,43.29,1.033,0.0158,37.74,-0.04684,0.08049,False,nan
pa_inside_outside,PriceAction,audjpy,H4,OOS,0.1,603,0.00273,42.62,1.005,0.0023,33.17,-0.08988,0.09586,False,nan
pa_inside_outside,PriceAction,audjpy,H4,VALID,0.1,394,-0.04961,40.61,0.916,-0.0422,43.95,-0.16652,0.06992,False,nan
pa_bos,PriceAction,audjpy,H4,IS,0.1,2003,0.04374,44.23,1.079,0.0368,35.39,-0.0078,0.09714,False,nan
pa_bos,PriceAction,audjpy,H4,OOS,0.1,890,-0.04564,40.79,0.924,-0.0385,61.09,-0.1283,0.03088,False,nan
pa_bos,PriceAction,audjpy,H4,VALID,0.1,504,-0.021,42.26,0.964,-0.0177,20.61,-0.12078,0.08139,False,nan
smc_fvg,SMC/ICT,audjpy,H4,IS,0.1,1939,0.06206,45.23,1.115,0.0524,20.24,0.01094,0.11353,False,nan
smc_fvg,SMC/ICT,audjpy,H4,OOS,0.1,925,-0.00443,42.92,0.992,-0.0037,45.64,-0.07922,0.07245,False,nan
smc_fvg,SMC/ICT,audjpy,H4,VALID,0.1,515,-0.02773,41.55,0.953,-0.0235,33.51,-0.12598,0.07441,False,nan
smc_order_block,SMC/ICT,audjpy,H4,IS,0.1,823,0.05363,44.59,1.099,0.0453,22.94,-0.02712,0.12983,False,nan
smc_order_block,SMC/ICT,audjpy,H4,OOS,0.1,379,0.0705,45.91,1.127,0.0584,20.46,-0.05772,0.1961,False,nan
smc_order_block,SMC/ICT,audjpy,H4,VALID,0.1,224,-0.07324,40.18,0.879,-0.0624,21.07,-0.22146,0.08542,False,nan
smc_liq_sweep,SMC/ICT,audjpy,H4,IS,0.1,1423,-0.07347,40.13,0.878,-0.0629,123.08,-0.13685,-0.01276,False,nan
smc_liq_sweep,SMC/ICT,audjpy,H4,OOS,0.1,569,-0.06552,40.42,0.891,-0.0557,51.12,-0.16213,0.03121,False,nan
smc_liq_sweep,SMC/ICT,audjpy,H4,VALID,0.1,380,-0.09999,38.68,0.839,-0.0855,42.71,-0.2169,0.02289,False,nan
smc_premium_disc,SMC/ICT,audjpy,H4,IS,0.2,2497,-0.06786,39.97,0.886,-0.0583,192.33,-0.11385,-0.02274,False,nan
smc_premium_disc,SMC/ICT,audjpy,H4,OOS,0.2,1109,-0.06884,40.49,0.886,-0.0585,101.97,-0.14246,0.00097,False,nan
smc_premium_disc,SMC/ICT,audjpy,H4,VALID,0.2,626,0.028,43.77,1.05,0.0235,43.63,-0.05994,0.11942,False,nan
elliott_zigzag,Elliott,audjpy,H4,IS,0.1,1390,0.02704,43.53,1.048,0.0228,36.48,-0.03464,0.08974,False,nan
elliott_zigzag,Elliott,audjpy,H4,OOS,0.1,603,0.00054,42.95,1.001,0.0005,27.19,-0.0941,0.0928,False,nan
elliott_zigzag,Elliott,audjpy,H4,VALID,0.1,367,-0.05113,40.6,0.914,-0.0435,33.55,-0.17756,0.06986,False,nan
wyckoff_spring,Wyckoff,audjpy,H4,IS,0.1,417,-0.13238,37.41,0.789,-0.1145,63.11,-0.24255,-0.02236,False,nan
wyckoff_spring,Wyckoff,audjpy,H4,OOS,0.1,159,-0.18454,35.85,0.716,-0.162,29.79,-0.35684,-0.00553,False,nan
wyckoff_spring,Wyckoff,audjpy,H4,VALID,0.1,113,-0.06469,39.82,0.896,-0.0538,19.71,-0.273,0.16139,False,nan
sd_zone,Supply/Demand,audjpy,H4,IS,0.1,1565,-0.10294,38.98,0.832,-0.0889,167.66,-0.15932,-0.04242,False,nan
sd_zone,Supply/Demand,audjpy,H4,OOS,0.1,656,-0.06429,40.09,0.894,-0.0544,75.73,-0.15194,0.03207,False,nan
sd_zone,Supply/Demand,audjpy,H4,VALID,0.1,403,-0.0972,39.21,0.842,-0.0833,49.5,-0.20895,0.01966,False,nan
ctrl_rsi_diverg,Đối chứng,audjpy,H4,IS,0.1,998,-0.08307,39.28,0.861,-0.072,98.18,-0.15302,-0.01589,False,nan
ctrl_rsi_diverg,Đối chứng,audjpy,H4,OOS,0.1,416,-0.04954,41.35,0.917,-0.0419,44.44,-0.15871,0.06411,False,nan
ctrl_rsi_diverg,Đối chứng,audjpy,H4,VALID,0.1,224,0.00986,42.86,1.017,0.0081,18.85,-0.13878,0.16746,False,nan
ctrl_channel_break,Đối chứng,audjpy,H4,IS,0.1,1236,0.04808,44.17,1.087,0.0404,27.23,-0.01739,0.11316,False,nan
ctrl_channel_break,Đối chứng,audjpy,H4,OOS,0.1,564,0.0247,43.79,1.043,0.0206,27.88,-0.0701,0.11867,False,nan
ctrl_channel_break,Đối chứng,audjpy,H4,VALID,0.1,308,-0.00435,42.21,0.992,-0.0037,19.43,-0.1408,0.12632,False,nan
ctrl_meanrev_z,Đối chứng,audjpy,H4,IS,0.2,2543,-0.07886,39.48,0.868,-0.068,217.3,-0.12271,-0.03358,False,nan
ctrl_meanrev_z,Đối chứng,audjpy,H4,OOS,0.2,1136,-0.06011,40.67,0.9,-0.0511,84.2,-0.12868,0.01041,False,nan
ctrl_meanrev_z,Đối chứng,audjpy,H4,VALID,0.2,652,-0.10524,38.8,0.829,-0.0907,75.97,-0.19808,-0.01611,False,nan
pa_pinbar,PriceAction,audusd,M5,IS,0.2,121441,-0.20127,40.8,0.709,-0.1683,24448.38,-0.20791,-0.19478,False,nan
pa_pinbar,PriceAction,audusd,M5,OOS,0.2,51388,-0.29196,39.96,0.611,-0.2426,15002.43,-0.3028,-0.28121,False,nan
pa_pinbar,PriceAction,audusd,M5,VALID,0.2,29336,-0.2786,39.96,0.619,-0.2345,8175.52,-0.29219,-0.26482,False,nan
pa_engulfing,PriceAction,audusd,M5,IS,0.1,69596,-0.20363,40.36,0.704,-0.1715,14171.33,-0.21285,-0.19471,False,nan
pa_engulfing,PriceAction,audusd,M5,OOS,0.1,31414,-0.29816,39.81,0.603,-0.249,9369.72,-0.31121,-0.28585,False,nan
pa_engulfing,PriceAction,audusd,M5,VALID,0.1,20144,-0.28194,39.88,0.613,-0.2387,5694.82,-0.29806,-0.26642,False,nan
pa_inside_outside,PriceAction,audusd,M5,IS,0.1,32192,-0.18603,40.46,0.726,-0.1566,5990.55,-0.19867,-0.17267,False,nan
pa_inside_outside,PriceAction,audusd,M5,OOS,0.1,11528,-0.27526,39.37,0.626,-0.2306,3175.71,-0.29703,-0.25406,False,nan
pa_inside_outside,PriceAction,audusd,M5,VALID,0.1,12419,-0.28463,39.49,0.61,-0.2416,3535.24,-0.30497,-0.2646,False,nan
pa_bos,PriceAction,audusd,M5,IS,0.1,107926,-0.25608,39.28,0.648,-0.2123,27639.5,-0.26343,-0.24908,False,nan
pa_bos,PriceAction,audusd,M5,OOS,0.1,45872,-0.34753,38.06,0.557,-0.2892,15944.75,-0.35802,-0.33668,False,nan
pa_bos,PriceAction,audusd,M5,VALID,0.1,25292,-0.32198,38.44,0.576,-0.2704,8144.79,-0.3364,-0.30696,False,nan
smc_fvg,SMC/ICT,audusd,M5,IS,0.1,115197,-0.26348,39.01,0.639,-0.2195,30353.02,-0.27005,-0.25666,False,nan
